"Database"	"Slave"	"Lang_Code"	"Project_Type"
"extwiki"	"s3-analytics-slave.eqiad.wmnet"	"ext"	"wiki"
"fawiki"	"s3-analytics-slave.eqiad.wmnet"	"fa"	"wiki"
"fawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"fa"	"wikibooks"
"fawikinews"	"s3-analytics-slave.eqiad.wmnet"	"fa"	"wikinews"
"fawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"fa"	"wikiquote"
"fawikisource"	"s3-analytics-slave.eqiad.wmnet"	"fa"	"wikisource"
"fdcwiki"	"s3-analytics-slave.eqiad.wmnet"	"fdc"	"wiki"
"ffwiki"	"s3-analytics-slave.eqiad.wmnet"	"ff"	"wiki"
"fiu_vrowiki"	"s3-analytics-slave.eqiad.wmnet"	"fiu-vro"	"wiki"
"fiwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikibooks"
"fiwikimedia"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikimedia"
"fiwikinews"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikinews"
"fiwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikiquote"
"fiwikisource"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikisource"
"fiwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"fi"	"wikiversity"
"fjwiki"	"s3-analytics-slave.eqiad.wmnet"	"fj"	"wiki"
"fowiki"	"s3-analytics-slave.eqiad.wmnet"	"fo"	"wiki"
"fowikisource"	"s3-analytics-slave.eqiad.wmnet"	"fo"	"wikisource"
"frpwiki"	"s3-analytics-slave.eqiad.wmnet"	"frp"	"wiki"
"frrwiki"	"s3-analytics-slave.eqiad.wmnet"	"frr"	"wiki"
"frwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikibooks"
"frwikinews"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikinews"
"frwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikiquote"
"frwikisource"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikisource"
"frwikiversity"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikiversity"
"frwikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"fr"	"wikivoyage"
"furwiki"	"s3-analytics-slave.eqiad.wmnet"	"fur"	"wiki"
"fywiki"	"s3-analytics-slave.eqiad.wmnet"	"fy"	"wiki"
"fywikibooks"	"s3-analytics-slave.eqiad.wmnet"	"fy"	"wikibooks"
"gagwiki"	"s3-analytics-slave.eqiad.wmnet"	"gag"	"wiki"
"ganwiki"	"s3-analytics-slave.eqiad.wmnet"	"gan"	"wiki"
"gawiki"	"s3-analytics-slave.eqiad.wmnet"	"ga"	"wiki"
"gawikibooks"	"s3-analytics-slave.eqiad.wmnet"	"ga"	"wikibooks"
"gawikiquote"	"s3-analytics-slave.eqiad.wmnet"	"ga"	"wikiquote"
"gdwiki"	"s3-analytics-slave.eqiad.wmnet"	"gd"	"wiki"
"glkwiki"	"s3-analytics-slave.eqiad.wmnet"	"glk"	"wiki"
"glwiki"	"s3-analytics-slave.eqiad.wmnet"	"gl"	"wiki"
"glwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"gl"	"wikibooks"
"glwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"gl"	"wikiquote"
"glwikisource"	"s3-analytics-slave.eqiad.wmnet"	"gl"	"wikisource"
"gnwiki"	"s3-analytics-slave.eqiad.wmnet"	"gn"	"wiki"
"gnwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"gn"	"wikibooks"
"gotwiki"	"s3-analytics-slave.eqiad.wmnet"	"got"	"wiki"
"gotwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"got"	"wikibooks"
"guwiki"	"s3-analytics-slave.eqiad.wmnet"	"gu"	"wiki"
"guwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"gu"	"wikibooks"
"guwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"gu"	"wikiquote"
"guwikisource"	"s3-analytics-slave.eqiad.wmnet"	"gu"	"wikisource"
"gvwiki"	"s3-analytics-slave.eqiad.wmnet"	"gv"	"wiki"
"hakwiki"	"s3-analytics-slave.eqiad.wmnet"	"hak"	"wiki"
"hawiki"	"s3-analytics-slave.eqiad.wmnet"	"ha"	"wiki"
"hawwiki"	"s3-analytics-slave.eqiad.wmnet"	"haw"	"wiki"
"hewiki"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wiki"
"hewikibooks"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wikibooks"
"hewikinews"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wikinews"
"hewikiquote"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wikiquote"
"hewikisource"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wikisource"
"hewikivoyage"	"s3-analytics-slave.eqiad.wmnet"	"he"	"wikivoyage"
"hifwiki"	"s3-analytics-slave.eqiad.wmnet"	"hif"	"wiki"
"hiwiki"	"s3-analytics-slave.eqiad.wmnet"	"hi"	"wiki"
"hiwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"hi"	"wikibooks"
"hiwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"hi"	"wikiquote"
"howiki"	"s3-analytics-slave.eqiad.wmnet"	"ho"	"wiki"
"hrwiki"	"s3-analytics-slave.eqiad.wmnet"	"hr"	"wiki"
"hrwikibooks"	"s3-analytics-slave.eqiad.wmnet"	"hr"	"wikibooks"
"hrwikiquote"	"s3-analytics-slave.eqiad.wmnet"	"hr"	"wikiquote"
"hrwikisource"	"s3-analytics-slave.eqiad.wmnet"	"hr"	"wikisource"
"hsbwiki"	"s3-analytics-slave.eqiad.wmnet"	"hsb"	"wiki"
"htwiki"	"s3-analytics-slave.eqiad.wmnet"	"ht"	"wiki"
"htwikisource"	"s3-analytics-slave.eqiad.wmnet"	"ht"	"wikisource"
